Engine Type,Engine Power,Distance,Towing Speed,Tow Type,Tow Size,Wind Speed,Current Speed,Wave Height,Sea State,Water Depth,Wind Direction,Maintenance History,Fuel Consumption,Pilotage Point,Berthing Point,Waypoints,Traffic
1,1000,48,4.026739455152366,2,4971,8.358707560856658,1.995354806470684,1.4547695066884843,3.0765278560775067,8.185998830912002,6,0,690.3834938473135,"(-42.98160360109824, 137.55082835153138)","(-73.47504774064826, 116.82944872605464)","[(-80.88176054875719, 79.0895385215195), (35.36493998446626, 73.0808064214643)]",41
1,3000,47,8.901681418303227,2,8601,16.24064375385138,1.7391971070888155,2.222437412876801,0.2450752038727505,6.398658913995808,6,1,2115.237079980755,"(78.76680026571066, -154.60446501069185)","(82.79807723294726, 21.40262377359582)","[(9.491868587811865, -157.40439065756334), (-34.844504364379155, 132.8938402987389), (32.03889480861456, 92.03994118338892)]",4
0,2000,28,8.912119336692234,0,8294,3.641440198506505,1.7359420385912099,0.09865839230513429,4.520659591314712,8.880123851599405,0,1,1328.478682854765,"(2.4650487668357357, 7.047739526377228)","(89.82805191958505, -155.3402808164891)","[(81.9463508628254, 143.9953334701114)]",48
1,1000,21,5.583530151521309,2,8128,1.3207024255708588,1.6789773216547406,1.53848400193692,4.1111828603152585,18.14694537467507,1,0,930.0541331819476,"(27.80972127595129, 100.68241571092881)","(-2.2605206506641764, -48.340620324804775)","[(12.695846879237564, -131.30926944308996), (21.761540938909405, -134.97108898675825)]",16
1,3000,47,6.600182868539206,1,6053,11.552796907668966,0.841680504992321,0.04006488341189618,0.7301566910521401,18.556645219358877,6,1,1535.925784464028,"(-42.21783754265137, 149.88163200603356)","(42.23169638839411, 132.8507133563075)","[(66.50341182200887, -69.51615535076603)]",45
0,2000,11,9.219846447212827,2,7163,9.863448399251844,1.6706628938069148,1.8726894200019002,2.6741115511424374,5.720998113443224,5,0,919.1366218386822,"(-16.063655824806133, 107.76661529313077)","(44.866714216069795, 8.848252058496058)","[(-37.7262080465696, -120.14253326823815), (33.38518721283252, -73.01671379677114), (26.967123327468883, 162.2064248960687), (-19.42615064539251, 152.43223020371357)]",19
1,2000,33,2.7536374176770266,1,4882,17.152065447390086,0.5121322625496021,2.4345574524049898,2.8080914092930276,19.274958525564468,7,2,669.9400695666839,"(33.60069511674686, -68.9660791210496)","(-50.863933160357966, -178.3128247337596)","[(-6.382080951787557, -178.1132758212103), (66.87341524547352, -173.26547831907092), (-57.94531099069487, -21.864362531925423)]",37
0,1000,11,3.5168135966414207,1,1487,1.9469157945507476,1.142859588954481,0.1330798238795433,4.651401360133328,18.08116577329932,4,2,187.38494956305564,"(87.76668551937672, 127.97535858721153)","(-67.46684534232523, -88.48397227714888)","[(63.11399085224642, 134.47391961330504), (-29.955256404610545, -76.08073229905665), (75.11235057865889, -98.99963499533291), (-68.42667130816645, -35.469832008298454)]",36
0,1000,1,4.32648200507362,0,7700,1.7733981901670792,0.16144531139388096,1.389156577368078,4.709487812427006,11.439511528470916,0,0,774.3264820050737,"(20.18182358216042, 167.2466838364055)","(51.565351477307104, -149.6671848483806)","[(15.17572362503418, -7.2312234848940875), (85.18995216350285, 115.1460520196436)]",26
1,1000,20,8.260059811211473,1,6107,13.597759021493959,0.33783026329633015,1.6783435059709273,0.755247991211811,6.1744604404360395,0,2,775.9011962242296,"(84.50297405682684, 144.98076435186806)","(-79.2819689757153, 16.98366249341487)","[(-37.9965015388419, -52.98645147020822)]",12
0,3000,9,8.738860429470915,2,1048,19.86818632604312,0.3094441069007825,2.427483719314011,0.6158878861794537,9.717174973055414,4,0,340.7492315957147,"(-79.88860228390982, 64.92051571040571)","(15.156678144571742, 52.07831510703966)","[(-81.14219261526672, -8.21674220987731), (-57.88560247107349, 74.61189505574674), (22.326047237396352, -72.7262984238899), (-64.02962720194296, -104.3504634731561)]",32
0,1000,7,4.594987099912782,1,4254,16.325645753754976,0.9774792856943264,2.7571090882634155,3.176429786742556,14.447690837397316,7,1,457.5649096993895,"(21.157343115873573, -53.848945317040176)","(-74.8410000542233, -73.21697128568951)","[(45.37166005752428, -14.993742542435598), (-36.48941137223791, 153.24933387863138), (87.19733407704652, 46.055359582998534), (67.99619848402287, -4.091815939972406)]",24
0,3000,3,6.032309786268613,0,1486,8.360035808309355,0.44473702686318006,0.39567050220272526,0.6853294738154825,17.06885386198668,7,2,202.8907880764175,"(63.72887863945218, -131.4266603882134)","(-14.944650106763248, -20.64125954819127)","[(-41.71096721322448, -4.3299900027201375), (57.87746615910231, 81.8687887042056), (-4.316464924219986, -67.73213689364242), (53.00180678544072, 177.34186470220664)]",26
0,1000,6,3.232064122876398,1,6814,14.132575602134862,1.7007084779117696,2.7084834160357296,4.820757241142333,14.010789866911932,2,2,700.7923847372584,"(-76.46225383295855, -16.02369231091521)","(18.861399699770658, -70.53896662032946)","[(-36.606542219387315, -114.07774460359376), (70.80643388662963, -137.9589359179211)]",44
0,3000,24,6.4423592081228,1,1189,10.059453155665974,1.6517998122803323,2.411331452269207,2.034373892818957,16.95515639399018,1,0,582.7498629848416,"(-60.9963565549496, -56.149517330869955)","(-44.93757480009043, -91.52398194744966)","[(2.646363451897429, 164.01409841431223), (20.72015542315775, 29.21651383787608)]",27
1,1000,9,9.203019673968154,0,3490,0.18276415387717515,1.5255549555224017,1.8571938962309633,0.005568773080459333,10.836846854496079,4,2,431.8271770657134,"(30.248252684580223, 174.09255207275083)","(-80.13127834716663, -33.08638843663425)","[(-42.647583894270305, 75.54590316523152)]",29
1,2000,41,9.979047914024388,1,1351,14.227269806998681,0.6006387794211581,1.085950948575969,1.8724467100688886,10.522955571152456,2,0,953.3819289499999,"(-2.251580160449066, -104.5354668818042)","(-27.5270298088544, 61.3388694925101)","[(52.82072979630931, 98.5617387647078), (42.78205934116269, -30.05133580954447), (79.63697370604203, 50.16443170773306)]",10
1,2000,43,4.795342459515774,1,7188,14.737459441553458,1.9196874395446721,2.3543744084211227,3.027029649501345,8.578228300084355,7,0,1131.1994515183567,"(-11.703824504930466, 3.34540606285384)","(41.22855390227207, 29.946698447889077)","[(-74.65463672509777, 86.03976615668978), (-79.5372830830732, 156.01807052630306)]",33
